group,function,value,sample_time_nanos,iteration_count
graph_8_aes_128_ctr_compare,build graph time (naive),100,683521,1
graph_8_aes_128_ctr_compare,build graph time (naive),100,1719770,2
graph_8_aes_128_ctr_compare,build graph time (naive),100,2974714,3
graph_8_aes_128_ctr_compare,build graph time (naive),100,3319876,4
graph_8_aes_128_ctr_compare,build graph time (naive),100,4206897,5
graph_8_aes_128_ctr_compare,build graph time (naive),100,5574119,6
graph_8_aes_128_ctr_compare,build graph time (naive),100,10942711,7
graph_8_aes_128_ctr_compare,build graph time (naive),100,10304935,8
graph_8_aes_128_ctr_compare,build graph time (naive),100,11410659,9
graph_8_aes_128_ctr_compare,build graph time (naive),100,12716179,10
graph_8_aes_128_ctr_compare,build graph time (naive),100,13982263,11
graph_8_aes_128_ctr_compare,build graph time (naive),100,20516176,12
graph_8_aes_128_ctr_compare,build graph time (naive),100,18820675,13
graph_8_aes_128_ctr_compare,build graph time (naive),100,18673579,14
graph_8_aes_128_ctr_compare,build graph time (naive),100,21491400,15
graph_8_aes_128_ctr_compare,build graph time (naive),100,31967505,16
graph_8_aes_128_ctr_compare,build graph time (naive),100,26307086,17
graph_8_aes_128_ctr_compare,build graph time (naive),100,29564758,18
graph_8_aes_128_ctr_compare,build graph time (naive),100,25228926,19
graph_8_aes_128_ctr_compare,build graph time (naive),100,25894629,20
graph_8_aes_128_ctr_compare,build graph time (naive),100,38374799,21
graph_8_aes_128_ctr_compare,build graph time (naive),100,29331997,22
graph_8_aes_128_ctr_compare,build graph time (naive),100,41764817,23
graph_8_aes_128_ctr_compare,build graph time (naive),100,47388704,24
graph_8_aes_128_ctr_compare,build graph time (naive),100,39294030,25
graph_8_aes_128_ctr_compare,build graph time (naive),100,48617446,26
graph_8_aes_128_ctr_compare,build graph time (naive),100,49940588,27
graph_8_aes_128_ctr_compare,build graph time (naive),100,41596983,28
graph_8_aes_128_ctr_compare,build graph time (naive),100,70368192,29
graph_8_aes_128_ctr_compare,build graph time (naive),100,57798485,30
graph_8_aes_128_ctr_compare,build graph time (naive),100,44367205,31
graph_8_aes_128_ctr_compare,build graph time (naive),100,59625220,32
graph_8_aes_128_ctr_compare,build graph time (naive),100,69651003,33
graph_8_aes_128_ctr_compare,build graph time (naive),100,49809903,34
graph_8_aes_128_ctr_compare,build graph time (naive),100,52145388,35
graph_8_aes_128_ctr_compare,build graph time (naive),100,65297875,36
graph_8_aes_128_ctr_compare,build graph time (naive),100,70063651,37
graph_8_aes_128_ctr_compare,build graph time (naive),100,60929690,38
graph_8_aes_128_ctr_compare,build graph time (naive),100,51240008,39
graph_8_aes_128_ctr_compare,build graph time (naive),100,71860903,40
graph_8_aes_128_ctr_compare,build graph time (naive),100,62314757,41
graph_8_aes_128_ctr_compare,build graph time (naive),100,65167156,42
graph_8_aes_128_ctr_compare,build graph time (naive),100,64198695,43
graph_8_aes_128_ctr_compare,build graph time (naive),100,54605749,44
graph_8_aes_128_ctr_compare,build graph time (naive),100,75647682,45
graph_8_aes_128_ctr_compare,build graph time (naive),100,74346010,46
graph_8_aes_128_ctr_compare,build graph time (naive),100,82558583,47
graph_8_aes_128_ctr_compare,build graph time (naive),100,76294468,48
graph_8_aes_128_ctr_compare,build graph time (naive),100,82741739,49
graph_8_aes_128_ctr_compare,build graph time (naive),100,82687467,50
graph_8_aes_128_ctr_compare,build graph time (naive),100,123824846,51
graph_8_aes_128_ctr_compare,build graph time (naive),100,87092726,52
graph_8_aes_128_ctr_compare,build graph time (naive),100,93362495,53
graph_8_aes_128_ctr_compare,build graph time (naive),100,111168282,54
graph_8_aes_128_ctr_compare,build graph time (naive),100,107955835,55
graph_8_aes_128_ctr_compare,build graph time (naive),100,91635019,56
graph_8_aes_128_ctr_compare,build graph time (naive),100,114323608,57
graph_8_aes_128_ctr_compare,build graph time (naive),100,95207176,58
graph_8_aes_128_ctr_compare,build graph time (naive),100,101537687,59
graph_8_aes_128_ctr_compare,build graph time (naive),100,117604251,60
graph_8_aes_128_ctr_compare,build graph time (naive),100,116234546,61
graph_8_aes_128_ctr_compare,build graph time (naive),100,113384247,62
graph_8_aes_128_ctr_compare,build graph time (naive),100,110996436,63
graph_8_aes_128_ctr_compare,build graph time (naive),100,103778781,64
graph_8_aes_128_ctr_compare,build graph time (naive),100,109860038,65
graph_8_aes_128_ctr_compare,build graph time (naive),100,109750487,66
graph_8_aes_128_ctr_compare,build graph time (naive),100,150044982,67
graph_8_aes_128_ctr_compare,build graph time (naive),100,116793816,68
graph_8_aes_128_ctr_compare,build graph time (naive),100,124082522,69
graph_8_aes_128_ctr_compare,build graph time (naive),100,130223984,70
graph_8_aes_128_ctr_compare,build graph time (naive),100,115082241,71
graph_8_aes_128_ctr_compare,build graph time (naive),100,103497097,72
graph_8_aes_128_ctr_compare,build graph time (naive),100,127613967,73
graph_8_aes_128_ctr_compare,build graph time (naive),100,127420248,74
graph_8_aes_128_ctr_compare,build graph time (naive),100,124395013,75
graph_8_aes_128_ctr_compare,build graph time (naive),100,144450302,76
graph_8_aes_128_ctr_compare,build graph time (naive),100,134655280,77
graph_8_aes_128_ctr_compare,build graph time (naive),100,126849579,78
graph_8_aes_128_ctr_compare,build graph time (naive),100,154739991,79
graph_8_aes_128_ctr_compare,build graph time (naive),100,129144747,80
graph_8_aes_128_ctr_compare,build graph time (naive),100,118319825,81
graph_8_aes_128_ctr_compare,build graph time (naive),100,125529145,82
graph_8_aes_128_ctr_compare,build graph time (naive),100,153591144,83
graph_8_aes_128_ctr_compare,build graph time (naive),100,170878372,84
graph_8_aes_128_ctr_compare,build graph time (naive),100,125720092,85
graph_8_aes_128_ctr_compare,build graph time (naive),100,161091002,86
graph_8_aes_128_ctr_compare,build graph time (naive),100,162279619,87
graph_8_aes_128_ctr_compare,build graph time (naive),100,137606347,88
graph_8_aes_128_ctr_compare,build graph time (naive),100,156266615,89
graph_8_aes_128_ctr_compare,build graph time (naive),100,160242223,90
graph_8_aes_128_ctr_compare,build graph time (naive),100,136088806,91
graph_8_aes_128_ctr_compare,build graph time (naive),100,141750619,92
graph_8_aes_128_ctr_compare,build graph time (naive),100,146877371,93
graph_8_aes_128_ctr_compare,build graph time (naive),100,164288546,94
graph_8_aes_128_ctr_compare,build graph time (naive),100,169596853,95
graph_8_aes_128_ctr_compare,build graph time (naive),100,163031959,96
graph_8_aes_128_ctr_compare,build graph time (naive),100,172729022,97
graph_8_aes_128_ctr_compare,build graph time (naive),100,196219460,98
graph_8_aes_128_ctr_compare,build graph time (naive),100,177452880,99
graph_8_aes_128_ctr_compare,build graph time (naive),100,162692710,100
